function,input_size,clock_cycle
1,1,3285
2,1,4611
1,1,3229
2,1,4360
1,1,3155
2,1,4402
1,1,3278
2,1,4442
1,1,3202
2,1,4400
1,1,3210
2,1,4423
1,1,3204
2,1,4410
1,1,3142
2,1,4727
1,1,3163
2,1,4591
1,1,3165
2,1,4394
1,1,3184
2,1,4447
1,1,3226
2,1,4570
1,1,3188
2,1,4386
1,1,3202
2,1,4443
1,1,3286
2,1,4463
1,1,3184
2,1,4400
1,1,3193
2,1,4451
1,1,3172
2,1,4424
1,1,3193
2,1,4445
1,1,3145
2,1,4410
1,1,3250
2,1,4356
1,1,3226
2,1,4388
1,1,3194
2,1,4376
1,1,3204
2,1,4395
1,1,3137
2,1,4430
1,1,3334
2,1,4748
1,1,3235
2,1,4686
1,1,3220
2,1,4408
1,1,3218
2,1,4539
1,1,3245
2,1,4426
1,1,3252
2,1,4431
1,1,3174
2,1,4398
1,1,3271
2,1,4388
1,1,3222
2,1,4396
1,1,3232
2,1,4382
1,1,3140
2,1,4430
1,1,3216
2,1,4433
1,1,3180
2,1,4673
1,1,3219
2,1,4442
1,1,3223
2,1,4398
1,1,3168
2,1,4465
1,1,3165
2,1,4380
1,1,3237
2,1,4447
1,1,3166
2,1,4690
1,1,3208
2,1,4378
1,1,3165
2,1,4426
1,1,3146
2,1,4686
1,1,3275
2,1,4651
1,1,3220
2,1,4402
1,1,3177
2,1,4613
1,1,3175
2,1,4345
1,1,3208
2,1,4445
1,1,3245
2,1,4380
1,1,3161
2,1,4413
1,1,3166
2,1,4433
1,1,3169
2,1,4386
1,1,3241
2,1,4610
1,1,3239
2,1,4688
1,1,3169
2,1,4451
1,1,3214
2,1,4460
1,1,3211
2,1,4449
1,1,3253
2,1,4484
1,1,3164
2,1,4391
1,1,3170
2,1,4377
1,1,3168
2,1,6101
1,1,3715
2,1,6296
1,1,4041
2,1,5881
1,1,3785
2,1,4464
1,1,3189
2,1,4451
1,1,3221
2,1,4406
1,1,3168
2,1,4461
1,1,3233
2,1,4442
1,1,3217
2,1,4463
1,1,3203
2,1,4442
1,1,3275
2,1,4606
1,1,3166
2,1,4450
1,1,3235
2,1,4483
1,1,3241
2,1,4451
1,1,3201
2,1,4674
1,1,3174
2,1,4475
1,1,3178
2,1,4459
1,1,3193
2,1,4428
1,1,3172
2,1,4483
1,1,3164
2,1,4361
1,1,3213
2,1,4449
1,1,3157
2,1,4421
1,1,3269
2,1,4405
1,1,3137
2,1,4414
1,1,3185
2,1,4409
1,1,3212
2,1,4471
1,1,3159
2,1,4446
1,1,3164
2,1,4439
1,1,3233
2,1,4428
1,1,3198
2,1,4405
1,1,3205
2,1,4481
1,1,3255
2,1,4456
1,1,3135
2,1,4428
1,1,3230
2,1,4425
1,1,3222
2,1,4467
1,1,3222
2,1,4472
1,5,15146
2,5,22218
1,5,15780
2,5,22204
1,5,15441
2,5,22154
1,5,15784
2,5,22272
1,5,15663
2,5,22330
1,5,15109
2,5,22252
1,5,15497
2,5,22153
1,5,15382
2,5,22224
1,5,15016
2,5,22161
1,5,15488
2,5,23321
1,5,15431
2,5,23280
1,5,15400
2,5,22728
1,5,14881
2,5,22189
1,5,15329
2,5,22174
1,5,15995
2,5,22167
1,5,15585
2,5,22201
1,5,15104
2,5,22049
1,5,15798
2,5,22162
1,5,15756
2,5,22196
1,5,14965
2,5,23495
1,5,15370
2,5,22063
1,5,15808
2,5,23314
1,5,15388
2,5,22161
1,5,15149
2,5,22134
1,5,15931
2,5,22163
1,5,15713
2,5,22197
1,5,15760
2,5,22209
1,5,15366
2,5,23361
1,5,15777
2,5,22217
1,5,15058
2,5,22165
1,5,15200
2,5,22199
1,5,15865
2,5,22165
1,5,14973
2,5,22222
1,5,15397
2,5,22069
1,5,15811
2,5,22216
1,5,15109
2,5,22250
1,5,15591
2,5,22070
1,5,15366
2,5,22172
1,5,15559
2,5,22219
1,5,15470
2,5,22128
1,5,15918
2,5,22115
1,5,14981
2,5,22203
1,5,15448
2,5,22115
1,5,15352
2,5,22160
1,5,15322
2,5,22230
1,5,15093
2,5,22151
1,5,15704
2,5,22062
1,5,15807
2,5,22191
1,5,15522
2,5,21993
1,5,15079
2,5,22058
1,5,15768
2,5,22189
1,5,14934
2,5,22024
1,5,15313
2,5,22153
1,5,15931
2,5,22206
1,5,15363
2,5,22165
1,5,15096
2,5,23426
1,5,15006
2,5,22224
1,5,15790
2,5,22255
1,5,14960
2,5,22654
1,5,15488
2,5,22129
1,5,15695
2,5,22138
1,5,15188
2,5,22088
1,5,16126
2,5,22141
1,5,15983
2,5,22235
1,5,15806
2,5,22305
1,5,14983
2,5,22061
1,5,15304
2,5,22171
1,5,15263
2,5,22143
1,5,15472
2,5,23245
1,5,15518
2,5,22025
1,5,15931
2,5,22145
1,5,14995
2,5,23222
1,5,14976
2,5,22157
1,5,15322
2,5,22114
1,5,15329
2,5,22090
1,5,15174
2,5,22158
1,5,14974
2,5,22151
1,5,15485
2,5,22183
1,5,15070
2,5,22086
1,5,15395
2,5,22160
1,5,15822
2,5,22611
1,5,15101
2,5,22151
1,5,15294
2,5,22157
1,5,15736
2,5,23330
1,5,15353
2,5,22109
1,5,15145
2,5,22161
1,5,15551
2,5,22080
1,5,15457
2,5,22119
1,5,15093
2,5,22220
1,5,15905
2,5,22258
1,5,15074
2,5,22226
1,5,15231
2,5,22122
1,5,15438
2,5,22200
1,5,15815
2,5,22151
1,5,15508
2,5,22222
1,5,15261
2,5,22222
1,5,15771
2,5,22300
1,5,15113
2,5,22037
1,5,15326
2,5,22186
1,5,15766
2,5,22226
1,10,31698
2,10,67395
1,10,30622
2,10,42976
1,10,29650
2,10,42997
1,10,30342
2,10,43902
1,10,29657
2,10,42841
1,10,29738
2,10,42875
1,10,30350
2,10,42939
1,10,29306
2,10,42761
1,10,30798
2,10,43047
1,10,29218
2,10,42887
1,10,29724
2,10,42689
1,10,30428
2,10,43836
1,10,29322
2,10,43888
1,10,29572
2,10,43031
1,10,29934
2,10,42944
1,10,29773
2,10,43625
1,10,30342
2,10,42701
1,10,29261
2,10,43023
1,10,30398
2,10,42823
1,10,29776
2,10,42964
1,10,29153
2,10,43708
1,10,30557
2,10,42909
1,10,29098
2,10,42891
1,10,30624
2,10,42905
1,10,29057
2,10,42978
1,10,28941
2,10,44071
1,10,29867
2,10,43025
1,10,29080
2,10,42929
1,10,30769
2,10,42918
1,10,29374
2,10,42853
1,10,30765
2,10,42752
1,10,30287
2,10,43019
1,10,29393
2,10,42919
1,10,30408
2,10,42894
1,10,29063
2,10,42883
1,10,30399
2,10,43921
1,10,29275
2,10,42889
1,10,67907
2,10,47124
1,10,30424
2,10,43012
1,10,29076
2,10,43014
1,10,30401
2,10,43070
1,10,29756
2,10,44033
1,10,29097
2,10,42889
1,10,29827
2,10,42687
1,10,28991
2,10,42994
1,10,30457
2,10,42912
1,10,30527
2,10,42968
1,10,29662
2,10,42818
1,10,29667
2,10,42897
1,10,29069
2,10,43836
1,10,30467
2,10,42931
1,10,29831
2,10,42819
1,10,29014
2,10,42806
1,10,30539
2,10,42764
1,10,29209
2,10,42845
1,10,30986
2,10,43749
1,10,29133
2,10,42764
1,10,29957
2,10,42934
1,10,30777
2,10,42787
1,10,30101
2,10,42788
1,10,30818
2,10,42849
1,10,29061
2,10,42679
1,10,30602
2,10,42832
1,10,30385
2,10,42907
1,10,29841
2,10,42864
1,10,30713
2,10,44021
1,10,29339
2,10,43923
1,10,30533
2,10,42898
1,10,30439
2,10,42989
1,10,29100
2,10,42977
1,10,30490
2,10,43891
1,10,29928
2,10,43915
1,10,29599
2,10,42875
1,10,29829
2,10,42668
1,10,29030
2,10,42991
1,10,30510
2,10,42930
1,10,29042
2,10,42826
1,10,29643
2,10,42846
1,10,30654
2,10,42891
1,10,29040
2,10,42898
1,10,30379
2,10,43037
1,10,29031
2,10,42832
1,10,29677
2,10,43990
1,10,30749
2,10,42970
1,10,29122
2,10,42918
1,10,30829
